7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1190.000,660.000,97.400,524.900,3402.000,3255.000,12543.333,801.000,2988.667,1402.600,481.900,9284,682.000,1120.667,1196.500,4717.000,1183.333,641.000,1006.000,1271.667,982.833,4043.000,1466.667,1653.000,3475,1657.500,448.300,3358.000,852.500,3514.000,27.370,58.120,141.620,122.310,80.910,24.440,65.720,87.020,102.770,137.060,63.320,44.240,31.190,118.520,56.770,97.100,53.610,174.580,116.840,161.880,78.920,165.550,84.150,34.910,65.630,134.660,180.560,118.350,158.370,83.610
1175.000,659.000,97.080,518.000,3401.000,3190.000,12166.667,801.833,2962.333,1387.600,478.700,9155,671.500,1109.667,1182.000,4652.000,1166.667,627.000,989.500,1246.000,976.333,3991.000,1451.000,1631.000,3433,1634.000,461.200,3325.000,832.500,3465.000,27.345,57.440,141.080,120.330,80.810,24.297,65.710,86.580,102.620,136.230,63.040,43.830,31.120,117.940,56.880,96.880,52.760,172.160,116.230,160.700,77.960,165.650,84.290,35.210,65.300,135.000,179.250,116.980,157.080,82.800
1201.200,650.600,96.640,535.900,3383.500,3241.000,12323.333,799.500,2927.000,1433.800,490.100,9226,691.000,1146.000,1208.000,4690.000,1158.333,649.500,1018.750,1295.000,1009.333,3969.000,1462.333,1681.000,3465,1625.500,471.000,3360.000,848.750,3421.000,27.305,57.560,141.710,121.310,80.840,24.310,65.890,86.960,102.220,136.150,63.290,44.060,30.720,117.100,56.860,96.870,53.170,174.310,115.780,160.440,76.320,165.670,84.410,35.020,65.680,134.720,179.870,117.420,157.920,82.520
1180.000,654.000,93.820,526.700,3227.500,3170.000,12186.667,787.000,2965.667,1428.400,479.300,9223,691.500,1127.667,1177.500,4540.000,1125.000,647.500,1008.000,1278.667,995.833,3912.000,1461.333,1662.000,3424,1577.000,468.600,3323.000,800.000,3371.000,27.270,57.600,142.170,120.720,80.270,24.767,65.950,87.440,103.550,134.800,63.630,44.100,30.480,117.130,57.210,96.650,52.870,174.750,115.860,161.360,76.910,166.060,83.380,34.970,65.630,135.000,179.180,117.820,159.690,82.650
1205.200,654.600,91.760,532.200,3240.500,3114.000,12383.333,786.833,2985.333,1459.600,489.300,9224,716.667,1146.333,1192.500,4530.000,1088.333,671.500,1029.000,1335.000,1031.000,3865.000,1469.667,1681.000,3467,1532.000,512.000,3339.000,803.750,3320.000,27.340,57.620,142.040,119.920,80.470,24.270,65.860,87.310,102.320,135.460,63.360,43.920,30.520,115.010,58.900,96.390,52.450,173.620,116.110,160.040,77.480,166.230,83.840,35.240,65.530,134.440,179.610,117.470,160.260,82.590
1220.000,663.800,92.180,528.600,3247.000,3105.000,12326.667,791.667,3034.333,1484.600,494.900,9352,717.333,1145.333,1202.000,4545.000,1090.000,677.500,1034.750,1334.667,1043.667,3887.000,1480.333,1676.000,3430,1554.000,517.100,3390.000,800.000,3347.000,27.128,57.670,142.090,119.130,81.060,24.233,65.800,86.850,101.940,135.340,63.550,43.740,30.630,115.420,58.660,95.870,52.550,174.350,116.580,160.000,77.250,166.260,83.590,35.360,65.360,134.990,179.070,116.950,160.500,82.740
1199.400,660.400,93.560,523.800,3217.500,3162.000,12193.333,798.000,2999.333,1462.200,477.100,9193,700.333,1129.333,1189.000,4541.000,1111.667,677.250,1018.500,1308.667,1022.000,3897.000,1506.667,1669.000,3390,1598.000,507.700,3382.000,798.750,3430.000,27.212,57.890,142.010,119.440,80.800,23.990,65.770,87.400,101.680,136.220,63.580,43.850,30.980,115.190,59.620,95.970,52.630,174.400,117.010,160.260,78.020,166.080,84.010,35.400,65.680,134.140,179.770,116.630,161.340,82.380
1224.000,674.600,94.060,524.900,3296.500,3158.000,11866.667,795.833,3066.333,1464.600,475.000,9218,707.000,1135.000,1195.500,4563.000,1116.667,676.750,1028.000,1331.000,1029.667,3901.000,1511.333,1685.000,3419,1653.000,507.100,3400.000,815.000,3458.000,27.008,57.950,139.870,118.710,80.290,24.077,65.950,87.310,102.200,135.060,62.730,43.850,31.060,114.870,60.220,95.820,52.530,170.840,116.760,159.050,77.820,165.300,83.150,35.150,65.160,133.290,179.410,117.110,160.830,81.470
1223.200,674.200,92.900,524.100,3350.000,3098.000,11820.000,789.667,3028.000,1431.600,475.500,9094,705.667,1137.333,1191.000,4541.000,1123.333,674.500,1031.750,1335.667,1030.333,3923.000,1477.000,1691.000,3432,1619.500,506.100,3427.000,820.000,3446.000,26.892,58.170,137.300,118.570,80.320,23.740,66.070,87.900,101.890,135.430,62.320,43.670,31.290,115.430,59.240,95.550,52.750,170.230,116.770,158.630,80.160,165.900,82.840,35.090,65.000,132.980,179.580,117.750,162.060,80.180
1182.200,666.200,92.460,518.700,3321.000,3097.000,11790.000,784.167,3057.000,1455.200,466.000,9000,700.000,1123.333,1171.000,4489.000,1078.333,671.000,1005.000,1300.000,1008.000,3869.000,1451.333,1679.000,3341,1590.000,502.800,3400.000,816.250,3381.000,26.735,58.030,136.620,119.040,80.570,23.713,66.220,87.580,101.320,134.360,62.850,43.320,31.350,114.440,59.000,95.210,52.070,171.970,116.750,158.320,80.030,165.970,82.660,35.260,64.790,132.230,179.410,117.140,160.890,79.390
1229.400,669.400,92.900,535.300,3399.000,3145.000,12150.000,792.333,3103.333,1487.200,481.900,9296,713.000,1149.333,1193.000,4561.000,1073.333,688.000,1053.000,1344.000,1045.333,3858.000,1436.000,1715.000,3443,1602.500,507.800,3481.000,830.000,3417.000,26.705,58.100,137.270,119.920,80.870,23.800,66.950,88.300,102.050,135.240,63.010,43.540,31.580,115.410,58.630,94.870,52.500,171.510,117.170,159.720,79.920,166.870,83.100,35.550,65.520,132.900,180.500,118.480,162.390,80.350
1237.200,665.200,92.040,541.400,3328.000,3103.000,12146.667,790.500,3113.333,1501.600,484.000,9308,711.500,1157.667,1201.500,4552.000,1065.000,685.250,1056.250,1340.000,1052.000,3918.000,1441.000,1732.000,3413,1600.000,515.000,3513.000,830.000,3357.000,26.500,57.890,136.870,119.470,81.170,23.770,67.500,87.540,101.700,134.100,62.710,43.240,31.540,115.360,58.000,94.860,52.270,170.760,117.020,159.400,79.830,169.370,82.480,35.700,65.450,130.810,180.150,118.470,161.970,80.520
1247.600,665.000,90.920,564.100,3378.000,3036.000,12113.333,791.500,3169.333,1518.800,496.000,9589,718.500,1207.000,1221.000,4560.000,1081.667,688.500,1068.000,1354.667,1056.667,4008.000,1453.667,1797.000,3526,1580.500,525.200,3555.000,846.250,3398.000,26.525,57.460,136.050,119.340,80.900,23.813,67.500,87.310,100.580,134.120,62.790,43.430,31.440,115.660,57.640,94.460,52.330,170.060,116.710,158.880,79.420,169.460,81.950,35.890,65.580,129.450,179.240,118.710,160.920,80.710
